,AS,1. What is your gender?,2. How old were you at your last birthday?,36a. I have unrealistic time pressures,20a. My supervisor provides me with regular and constructive feedback,"18f. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","18g. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
0,"Large (1,001 or more employees)",Female,Under 40 years,4.0,3.0,3.0,3.0
1,"Large (1,001 or more employees)",Female,Under 40 years,2.0,3.0,1.0,2.0
2,"Large (1,001 or more employees)",Female,Under 40 years,2.0,3.0,4.0,5.0
3,"Large (1,001 or more employees)",Male,55 years or older,1.0,2.0,2.0,2.0
4,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,3.0,2.0
5,"Large (1,001 or more employees)",Female,Under 40 years,4.0,4.0,2.0,4.0
6,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,3.0,2.0
7,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,2.0
8,"Large (1,001 or more employees)",Female,55 years or older,3.0,3.0,4.0,4.0
9,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,4.0,2.0
10,"Large (1,001 or more employees)",Male,55 years or older,3.0,2.0,4.0,4.0
11,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,5.0,5.0
12,"Large (1,001 or more employees)",Male,55 years or older,2.0,4.0,2.0,4.0
13,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,4.0,4.0
14,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
15,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,4.0,4.0
16,"Large (1,001 or more employees)",Female,Under 40 years,5.0,4.0,5.0,5.0
17,"Large (1,001 or more employees)",Female,Under 40 years,1.0,4.0,2.0,4.0
18,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,4.0,4.0
19,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,3.0,3.0
20,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,3.0,4.0
21,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,1.0,2.0
22,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,1.0,2.0,2.0
23,"Large (1,001 or more employees)",Female,Under 40 years,4.0,2.0,4.0,4.0
24,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,5.0,4.0,4.0
25,"Large (1,001 or more employees)",Male,Under 40 years,4.0,3.0,4.0,5.0
26,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
27,"Large (1,001 or more employees)",Female,55 years or older,2.0,5.0,4.0,4.0
28,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,5.0
