,AS,1. What is your gender?,2. How old were you at your last birthday?,36a. I have unrealistic time pressures,20a. My supervisor provides me with regular and constructive feedback,"18f. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","18g. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
0,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,5.0,5.0
1,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,3.0
2,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
3,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,2.0
4,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,4.0
5,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,2.0,3.0
6,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,2.0,2.0
7,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,5.0,5.0
8,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,2.0,1.0
9,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
10,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
11,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,3.0
12,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
13,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
14,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,5.0
15,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
16,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,3.0,5.0
17,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
18,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
19,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,3.0
20,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,2.0,3.0,3.0
21,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
22,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,2.0,4.0
23,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
24,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,3.0
25,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
26,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,2.0,4.0,4.0
27,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,4.0,5.0
28,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,1.0,4.0,1.0
29,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
30,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,4.0,4.0
31,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,5.0,5.0
32,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,2.0,2.0
33,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,3.0,4.0
34,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,5.0,3.0
35,Small (Less than 250 employees),Male,40 to 54 years,3.0,5.0,3.0,5.0
36,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,4.0
37,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,3.0,4.0
38,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,3.0,4.0,4.0
39,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,4.0
40,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,4.0,4.0
41,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
42,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,3.0,4.0
43,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,4.0,4.0
44,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,3.0,4.0
45,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,2.0,4.0
46,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
47,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
48,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
49,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,3.0,4.0,4.0
50,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,1.0,4.0,4.0
51,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,2.0,4.0,4.0
52,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
53,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,2.0,1.0
54,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
55,Small (Less than 250 employees),Female,40 to 54 years,3.0,2.0,5.0,3.0
56,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,2.0,3.0
57,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,2.0
58,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,4.0,3.0
59,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
60,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
61,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,4.0
62,"Large (1,001 or more employees)",Male,40 to 54 years,5.0,4.0,4.0,4.0
63,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,1.0,4.0
64,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,2.0,4.0
65,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,4.0,5.0
66,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,4.0,4.0
67,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
68,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,1.0,2.0
69,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,2.0,4.0,2.0
70,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,2.0,3.0,4.0
71,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,1.0,1.0
72,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,4.0
73,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,1.0
74,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,2.0,4.0
75,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
76,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,3.0,3.0
77,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,5.0,5.0
78,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,5.0
79,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,5.0
80,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,4.0,2.0
81,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,4.0,4.0
82,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,3.0,3.0
83,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
84,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,3.0,4.0,4.0
85,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,2.0
86,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,5.0
87,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,3.0,5.0
88,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
89,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
90,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,2.0
91,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
92,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
93,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,4.0,4.0,3.0
94,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
95,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
96,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,2.0,4.0,4.0
97,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,3.0,3.0
98,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
99,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,5.0,5.0
100,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
101,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,5.0
102,Small (Less than 250 employees),Male,40 to 54 years,2.0,3.0,3.0,4.0
103,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,4.0,3.0
104,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,3.0,4.0
105,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,2.0,4.0
106,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
107,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,3.0
108,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
109,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,1.0,2.0
110,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
111,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
112,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
113,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,4.0,3.0
114,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,3.0
115,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,5.0
116,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,4.0,4.0
117,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,5.0,5.0,5.0
118,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,3.0,4.0,4.0
119,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,4.0
