,2,1. What is your gender?,2. How old were you at your last birthday?,47a. I have unrealistic time pressures,19a. My supervisor communicates effectively,"17d. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","17e. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
0,"Large (1,001 or more employees)",Male,55 years or older,4.0,4.0,4.0,4.0
1,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,5.0,5.0
2,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,4.0,4.0
3,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,5.0,4.0
4,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,4.0,5.0
5,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,4.0
6,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,3.0,4.0
7,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,3.0,5.0,5.0
8,"Large (1,001 or more employees)",Female,Under 40 years,3.0,5.0,4.0,4.0
9,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,1.0,4.0
10,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,4.0,4.0
11,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,1.0,3.0
12,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
13,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,2.0,4.0,4.0
14,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,4.0,4.0
15,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
16,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,2.0,5.0
17,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
18,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,2.0,4.0
19,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,2.0,4.0
20,"Large (1,001 or more employees)",Female,Under 40 years,2.0,5.0,5.0,5.0
21,"Large (1,001 or more employees)",Female,Under 40 years,3.0,4.0,3.0,4.0
22,"Large (1,001 or more employees)",Female,Under 40 years,3.0,3.0,3.0,4.0
23,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
24,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
25,"Large (1,001 or more employees)",Male,55 years or older,3.0,5.0,2.0,4.0
26,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,3.0,4.0,3.0
27,"Large (1,001 or more employees)",Male,Under 40 years,4.0,5.0,2.0,5.0
28,"Large (1,001 or more employees)",Female,55 years or older,1.0,4.0,1.0,5.0
29,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,5.0,5.0
30,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,5.0,5.0
31,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,4.0,4.0
32,"Large (1,001 or more employees)",Female,55 years or older,3.0,4.0,5.0,3.0
33,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,3.0
34,"Large (1,001 or more employees)",Female,Under 40 years,4.0,1.0,2.0,1.0
35,"Large (1,001 or more employees)",Female,55 years or older,5.0,4.0,5.0,5.0
36,"Large (1,001 or more employees)",Female,Under 40 years,4.0,2.0,4.0,2.0
37,"Large (1,001 or more employees)",Female,55 years or older,4.0,4.0,4.0,4.0
38,"Large (1,001 or more employees)",Female,55 years or older,1.0,4.0,4.0,4.0
39,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,3.0,5.0,5.0
40,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,3.0,3.0
41,"Large (1,001 or more employees)",Female,Under 40 years,2.0,4.0,4.0,4.0
42,"Large (1,001 or more employees)",Male,Under 40 years,3.0,5.0,5.0,5.0
43,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,2.0,2.0
44,"Large (1,001 or more employees)",Male,Under 40 years,1.0,5.0,2.0,5.0
45,"Large (1,001 or more employees)",Female,Under 40 years,4.0,5.0,4.0,4.0
46,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,1.0,3.0
47,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,3.0,5.0
48,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,4.0
49,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,3.0,4.0
50,"Large (1,001 or more employees)",Female,40 to 54 years,1.0,4.0,4.0,4.0
51,"Large (1,001 or more employees)",Male,Under 40 years,4.0,4.0,2.0,4.0
52,"Large (1,001 or more employees)",Female,Under 40 years,2.0,5.0,4.0,4.0
53,"Large (1,001 or more employees)",Male,Under 40 years,3.0,4.0,3.0,3.0
54,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
55,"Large (1,001 or more employees)",Male,Under 40 years,2.0,4.0,4.0,4.0
56,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,5.0,5.0
57,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,5.0,4.0,4.0
