,2,1. What is your gender?,2. How old were you at your last birthday?,47a. I have unrealistic time pressures,19a. My supervisor communicates effectively,"17d. I am fairly remunerated (e.g. salary, superannuation) for the work that I do","17e. I am satisfied with my non-monetary employment conditions (e.g. leave, flexible work arrangements, other benefits)"
0,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,1.0,1.0
1,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,5.0
2,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
3,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,5.0,5.0,5.0
4,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,5.0,4.0,4.0
5,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
6,"Large (1,001 or more employees)",Female,40 to 54 years,5.0,1.0,5.0,2.0
7,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,5.0,4.0
8,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,3.0
9,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,5.0,5.0
10,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
11,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
12,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,5.0,5.0,5.0
13,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
14,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,4.0,1.0
15,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
16,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,1.0,4.0
17,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
18,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,3.0,2.0,3.0
19,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,2.0,4.0,4.0
20,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,4.0
21,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
22,Small (Less than 250 employees),Female,40 to 54 years,1.0,2.0,1.0,2.0
23,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,3.0,5.0
24,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,2.0,2.0,3.0
25,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,3.0,3.0
26,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
27,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,2.0,4.0
28,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,4.0,4.0
29,"Large (1,001 or more employees)",Female,40 to 54 years,2.0,4.0,4.0,4.0
30,"Medium (251 to 1,000 employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
31,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,4.0,4.0,4.0
32,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
33,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
34,"Large (1,001 or more employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
35,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,5.0
36,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,3.0,4.0
37,"Large (1,001 or more employees)",Male,40 to 54 years,4.0,4.0,5.0,4.0
38,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,4.0,4.0
39,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,4.0,5.0
40,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,5.0,5.0,5.0
41,"Medium (251 to 1,000 employees)",Female,40 to 54 years,3.0,4.0,5.0,5.0
42,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,5.0,5.0
43,"Large (1,001 or more employees)",Male,40 to 54 years,1.0,5.0,4.0,4.0
44,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,5.0,3.0,4.0
45,"Medium (251 to 1,000 employees)",Female,40 to 54 years,4.0,4.0,4.0,4.0
46,"Large (1,001 or more employees)",Male,40 to 54 years,2.0,4.0,4.0,4.0
47,"Large (1,001 or more employees)",Female,40 to 54 years,4.0,5.0,5.0,5.0
48,"Large (1,001 or more employees)",Male,40 to 54 years,3.0,4.0,4.0,4.0
